species_code;order;family;family_common;family_code;genus;species;species_common;sex;type;linf_cm;winf_g;k;t0;tmax_yr;m
2590;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser brevirostrum;Shortnose sturgeon;mixed;TL;144;NA;0.04;2;NA;NA
2591;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser fulvescens;Lake sturgeon;unsexed;TL;156;18286;0.033;-5.59;NA;0.06
2591;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser fulvescens;Lake sturgeon;mixed;TL;156;NA;0.04;-0.02;NA;NA
2591;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser fulvescens;Lake sturgeon;unsexed;TL;178;27140;0.05;NA;NA;0.06
4712;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser gueldenstaedtii;Russian sturgeon;unsexed;TL;253;97200;0.045;-3.5;NA;0.098
2592;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser medirostris;Green sturgeon;mixed;TL;238;NA;0.05;2;NA;NA
2592;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser medirostris;Green sturgeon;unsexed;TL;190;NA;0.087;NA;NA;NA
2505;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser nudiventris;Thorn sturgeon;unsexed;TL;205;42290;0.053;-4.35;NA;NA
2505;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser nudiventris;Thorn sturgeon;unsexed;TL;205;42360;0.119;NA;NA;0.15
2505;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser nudiventris;Thorn sturgeon;unsexed;;250;NA;0.04;NA;NA;NA
2593;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser oxyrinchus oxyrinchus;Atlantic sturgeon;mixed;TL;184;NA;0.14;NA;NA;NA
2593;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser oxyrinchus oxyrinchus;Atlantic sturgeon;mixed;TL;242;NA;0.12;NA;NA;NA
2593;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser oxyrinchus oxyrinchus;Atlantic sturgeon;female;TL;256;NA;0.07;-3.2;NA;NA
2593;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser oxyrinchus oxyrinchus;Atlantic sturgeon;mixed;TL;236;NA;0.06;NA;NA;NA
2593;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser oxyrinchus oxyrinchus;Atlantic sturgeon;mixed;TL;315;NA;0.03;NA;NA;NA
4604;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser ruthenus;Sterlet;unsexed;TL;57.8;NA;0.13;NA;NA;0.22
2065;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser stellatus;Stellate sturgeon;unsexed;TL;201;NA;0.06;NA;NA;0.16
2066;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser sturio;European sturgeon;unsexed;TL;500;NA;0.03;-2.8;NA;NA
2594;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser transmontanus;White sturgeon;unsexed;TL;300;170000;0.06;NA;NA;0.03
2594;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser transmontanus;White sturgeon;unsexed;TL;350;96680;0.04;NA;NA;NA
2594;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser transmontanus;White sturgeon;unsexed;FL;303;NA;0.0346;-1.125;NA;0.11
4633;Acipenseriformes;Acipenseridae;Sturgeons;32;Huso;Huso dauricus;Kaluga;unsexed;TL;275;NA;0.073;NA;NA;0.082
2067;Acipenseriformes;Acipenseridae;Sturgeons;32;Huso;Huso huso;Beluga;unsexed;TL;249;149100;0.097;NA;NA;NA
4634;Acipenseriformes;Acipenseridae;Sturgeons;32;Pseudoscaphirhynchus;Pseudoscaphirhynchus kaufmanni;Amu Darya sturgeon;unsexed;TL;65.4;NA;0.164;-0.95;NA;NA
174;Acipenseriformes;Polyodontidae;Paddlefishes;33;Polyodon;Polyodon spathula;Paddlefish;unsexed;TL;113;7281;0.581;NA;NA;NA
174;Acipenseriformes;Polyodontidae;Paddlefishes;33;Polyodon;Polyodon spathula;Paddlefish;male;FL;84.9;8696;0.133;NA;NA;NA
174;Acipenseriformes;Polyodontidae;Paddlefishes;33;Polyodon;Polyodon spathula;Paddlefish;unsexed;FL;178;NA;0.276;-0.71;NA;0.3
174;Acipenseriformes;Polyodontidae;Paddlefishes;33;Polyodon;Polyodon spathula;Paddlefish;female;FL;90.3;10316;0.173;NA;NA;NA
174;Acipenseriformes;Polyodontidae;Paddlefishes;33;Polyodon;Polyodon spathula;Paddlefish;unsexed;FL;163;NA;0.254;-1.02;30;0.57
174;Acipenseriformes;Polyodontidae;Paddlefishes;33;Polyodon;Polyodon spathula;Paddlefish;unsexed;FL;152;NA;0.303;-0.73;NA;0.65
228;Albuliformes;Albulidae;Bonefishes;48;Albula;Albula vulpes;Bonefish;unsexed;FL;80.75518;5230;0.22;NA;NA;NA
228;Albuliformes;Albulidae;Bonefishes;48;Albula;Albula vulpes;Bonefish;male;FL;78.1594;NA;0.242;-1.318;NA;NA
228;Albuliformes;Albulidae;Bonefishes;48;Albula;Albula vulpes;Bonefish;female;FL;79.3134;NA;0.279;-0.934;NA;NA
228;Albuliformes;Albulidae;Bonefishes;48;Albula;Albula vulpes;Bonefish;unsexed;FL;124.2387;14657;0.301;NA;NA;NA
2600;Amiiformes;Amiidae;Bowfins;35;Amia;Amia calva;Bowfin;unsexed;TL;73.5;NA;0.328;NA;NA;0.37
2600;Amiiformes;Amiidae;Bowfins;35;Amia;Amia calva;Bowfin;unsexed;TL;92.6;NA;0.143;-1.42;NA;0.36
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;TL;70;NA;0.031;-3.73;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;87;1070;0.196;-0.471;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;87.2;1060;0.187;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;unsexed;TL;83.2;921;0.0756;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;150;NA;0.013;-4.21;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;TL;41.8;122;0.35;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;TL;65.9;NA;0.036;-3.22;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;76.2;821;0.23;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;TL;49.3;164;0.3366;-0.4871;NA;0.26
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;TL;51.3;216;0.378;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;;82.3;891.9069;0.251;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;TL;47;161;0.467;-0.345;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;;NA;144.8302;0.623;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;;NA;617.3254;0.336;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;;45.3;148.7355;0.619;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;143;NA;0.013;-4.26;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;105;2070;0.046;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;unsexed;TL;112;2247;0.11;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;;NA;201.2024;0.337;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;unsexed;TL;70.8;368;0.064;-0.62;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;99.5;1898;0.133;-0.7037;NA;0.26
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;;112;2247.885;0.147;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;;NA;84.375;0.978;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;mixed;;135;3940;0.058;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;;42.1;119.3895;0.391;NA;NA;NA
295;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla japonica;Japanese eel;unsexed;TL;98.2;1720;0.07;-1.94;NA;NA
1276;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla mossambica;African longfin eel;unsexed;TL;139;8418;0.041;-0.476;NA;NA
301;Anguilliformes;Congridae;Conger and garden eels;62;Conger;Conger conger;NA;male;NG;94.8;1602;0.27;-0.79;NA;0.39
301;Anguilliformes;Congridae;Conger and garden eels;62;Conger;Conger conger;NA;female;TL;265;NA;0.063;-0.386;NA;NA
301;Anguilliformes;Congridae;Conger and garden eels;62;Conger;Conger conger;NA;female;NG;229;30384;0.068;-2.4;NA;NA
2660;Anguilliformes;Nemichthyidae;Snipe eels;52;Nemichthys;Nemichthys scolopaceus;Slender snipe eel;unsexed;TL;100;NA;0.3;NA;NA;0.4
2620;Anguilliformes;Nettastomatidae;Duckbill eels;64;Facciolella;Facciolella gilbertii;Dogface witch-eel;unsexed;TL;60;NA;0.4;NA;NA;NA
2658;Anguilliformes;Ophichthidae;Snake eels;66;Ophichthus;Ophichthus zophochir;Yellow snake eel;unsexed;TL;76;NA;0.3;NA;NA;0.4
11483;Anguilliformes;Serrivomeridae;Sawtooth eels;65;Serrivomer;Serrivomer sector;NA;unsexed;TL;76;NA;0.3;NA;NA;0.5
45;Atheriniformes;Atherinidae;Silversides;218;Atherina;Atherina presbyter;NA;unsexed;SL;15.4;NA;0.7;-0.11;NA;1.1
48414;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Chirostoma;Chirostoma attenuatum;NA;unsexed;SL;NA;NA;0.204;NA;NA;NA
48356;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Chirostoma;Chirostoma estor;NA;unsexed;SL;NA;415;0.294;-1.5;NA;NA
48356;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Chirostoma;Chirostoma estor;NA;unsexed;SL;NA;997;0.195;-0.9;NA;NA
48410;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Chirostoma;Chirostoma grandocule;NA;unsexed;FL;NA;NA;0.175;NA;NA;NA
48419;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Chirostoma;Chirostoma humboldtianum;NA;female;SL;NA;NA;0.107;NA;NA;NA
48419;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Chirostoma;Chirostoma humboldtianum;NA;male;SL;NA;NA;0.159;NA;NA;NA
48409;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Chirostoma;Chirostoma patzcuaro;NA;unsexed;SL;NA;16.8;0.32;NA;NA;NA
3238;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Labidesthes;Labidesthes sicculus;Brook silverside;unsexed;;9.2;NA;3.7;NA;NA;NA
3239;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Leuresthes;Leuresthes tenuis;California grunion;male;;17.8;NA;0.33;NA;3;1.3
3239;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Leuresthes;Leuresthes tenuis;California grunion;female;;18.4;NA;0.39;NA;3;1.3
3243;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Menidia;Menidia extensa;Waccamaw silverside;female;TL;10.4;NA;1.04;NA;NA;1.4
3243;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Menidia;Menidia extensa;Waccamaw silverside;male;TL;9.6;NA;1.36;NA;NA;1.4
339;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Menidia;Menidia menidia;Atlantic silverside;male;TL;13.9;17;1.24;NA;NA;2.1
339;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Menidia;Menidia menidia;Atlantic silverside;female;TL;14.6;19.9;1.39;NA;NA;NA
339;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Menidia;Menidia menidia;Atlantic silverside;male;TL;13;14;1.05;-0.42;NA;NA
339;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Menidia;Menidia menidia;Atlantic silverside;female;TL;13.6;16;1.09;-0.37;NA;NA
8172;Atheriniformes;Atherinopsidae;Neotropical silversides;623;Odontesthes;Odontesthes regia;NA;unsexed;NG;25;NA;0.69;NA;NA;NA
60529;Aulopiformes;Anotopteridae;Daggertooth;172;Anotopterus;Anotopterus nikparini;NA;unsexed;TL;110;NA;0.5;NA;NA;0.7
7444;Aulopiformes;Giganturidae;Telescopefishes;96;Gigantura;Gigantura indica;Telescopefish;unsexed;SL;28.35766;NA;0.86;NA;NA;NA
9133;Aulopiformes;Ipnopidae;;560;Bathypterois;Bathypterois dubius;NA;unsexed;TL;18;NA;0.4;NA;NA;NA
9133;Aulopiformes;Ipnopidae;;560;Bathypterois;Bathypterois dubius;NA;unsexed;SL;NA;NA;0.134;-1.288;NA;NA
11600;Aulopiformes;Notosudidae;Waryfishes;470;Scopelosaurus;Scopelosaurus harryi;NA;unsexed;TL;23;NA;0.67;NA;NA;NA
11599;Aulopiformes;Paralepididae;Barracudinas;169;Lestidiops;Lestidiops ringens;NA;unsexed;TL;21;NA;0.7;NA;NA;0.96
24646;Aulopiformes;Paralepididae;Barracudinas;169;Lestrolepis;Lestrolepis japonica;NA;unsexed;SL;NA;NA;1.776;-0.0335;NA;NA
25299;Aulopiformes;Scopelarchidae;Pearleyes;174;Benthalbella;Benthalbella linguidens;NA;unsexed;TL;13;NA;0.86;NA;NA;1.4
260;Aulopiformes;Synodontidae;Lizardfishes;160;Harpadon;Harpadon nehereus;NA;unsexed;TL;39;252;0.53;NA;NA;NA
260;Aulopiformes;Synodontidae;Lizardfishes;160;Harpadon;Harpadon nehereus;NA;unsexed;;73;1570;0.176;NA;NA;NA
260;Aulopiformes;Synodontidae;Lizardfishes;160;Harpadon;Harpadon nehereus;NA;unsexed;NG;36.7;211;0.761;NA;NA;NA
260;Aulopiformes;Synodontidae;Lizardfishes;160;Harpadon;Harpadon nehereus;NA;unsexed;TL;35;184;0.52;NA;NA;NA
260;Aulopiformes;Synodontidae;Lizardfishes;160;Harpadon;Harpadon nehereus;NA;unsexed;TL;24.5;43.7;1.5;NA;NA;NA
260;Aulopiformes;Synodontidae;Lizardfishes;160;Harpadon;Harpadon nehereus;NA;unsexed;TL;29;NA;0.9;NA;NA;NA
260;Aulopiformes;Synodontidae;Lizardfishes;160;Harpadon;Harpadon nehereus;NA;unsexed;TL;28.4;100;0.85;NA;NA;NA
4764;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida elongata;NA;male;;37.7;NA;1.24;NA;NA;NA
4764;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida elongata;NA;unsexed;TL;37;NA;1.6;NA;NA;NA
4764;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida elongata;NA;female;;42.4;NA;1.24;NA;NA;NA
4764;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida elongata;NA;male;;40;NA;1.22;NA;NA;NA
4764;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida elongata;NA;female;;41.6;NA;1.19;NA;NA;NA
4764;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida elongata;NA;unsexed;TL;46.1;NA;0.94;NA;NA;NA
4828;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida longimanus;NA;unsexed;TL;21.2;NA;0.95;NA;NA;NA
4467;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida micropectoralis;NA;mixed;SL;46.74623;NA;0.401;NA;NA;NA
4467;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida micropectoralis;NA;unsexed;TL;42;NA;0.88;NA;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;unsexed;FL;49.5;651;0.55;NA;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;unsexed;TL;69.5;2350;0.286;-0.28;7;0.46
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;unsexed;TL;43.6;529;0.431;NA;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;unsexed;;83;2286;0.111;NA;NA;0.29
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;male;FL;75.57;2320;0.118;-1.4;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;unsexed;FL;NA;NA;0.635;NA;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;unsexed;TL;41.8;841;0.95;NA;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;male;FL;86.13;3440;0.079;-1.79;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;unsexed;TL;53.8;2372;0.32;NA;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;unsexed;FL;58.3;1070;0.7;NA;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;mixed;FL;67.87;NA;0.133;NA;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;male;FL;58.08;NA;0.092;NA;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;female;FL;87.45;3600;0.096;-1.54;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;unsexed;TL;37.5;327;1.03;NA;NA;0.69
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;female;FL;68.64;NA;0.083;NA;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;unsexed;TL;63.7;1850.68;0.249;NA;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;unsexed;FL;47.3;569;0.64;NA;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;unsexed;FL;45.1;493;0.7;NA;NA;NA
6479;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida tumbil;NA;female;FL;81.62;2920;0.104;-1.42;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;FL;47.25275;807.6046;0.75;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;FL;36.59341;323;0.3;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;TL;34.5;266.2599;0.6;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;male;;30.3;179.6506;2.34;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;female;;37;575;0.39;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;male;NG;44.2;564.2233;0.19;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;female;NG;68.5;2128.895;0.1;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;FL;45.05495;701.1768;0.65;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;FL;33.51648;291.4845;0.8;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;mixed;SL;35.05882;NA;0.5;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;TL;31.5;202;0.698;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;male;;36;451;0.25;NA;NA;0.62
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;FL;61.75824;2003;0.21;0.026;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;NG;36.8;436;0.65;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;TL;54.4;1539;0.34;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;TL;41.3;459.3257;1.132;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;female;;43;519.0618;0.96;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;TL;37.9;354.0231;0.889;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;male;;32.5;222.1747;1.6;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;female;;42.3;493.8713;1.02;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;male;;31.8;207.9853;1.62;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;female;;36;302.9207;1.64;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;TL;33.5;243.5493;0.95;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;TL;40.6;436.1325;0.6;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;male;;31;192.5278;1.89;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;female;;35.2;282.9743;2.13;NA;NA;NA
1055;Aulopiformes;Synodontidae;Lizardfishes;160;Saurida;Saurida undosquamis;NA;unsexed;FL;47.25275;604;0.85;NA;NA;NA
5398;Aulopiformes;Synodontidae;Lizardfishes;160;Synodus;Synodus variegatus;NA;unsexed;TL;29;NA;0.43;NA;NA;NA
2724;Aulopiformes;Synodontidae;Lizardfishes;160;Trachinocephalus;Trachinocephalus myops;Snakefish;unsexed;TL;36.5;NA;1.6;NA;NA;NA
3069;Batrachoidiformes;Batrachoididae;Toadfishes;189;Opsanus;Opsanus tau;Oyster toadfish;male;TL;38.1;NA;0.106;NA;NA;NA
3069;Batrachoidiformes;Batrachoididae;Toadfishes;189;Opsanus;Opsanus tau;Oyster toadfish;female;TL;24.1;NA;0.41;NA;NA;0.55
12925;Batrachoidiformes;Batrachoididae;Toadfishes;189;Porichthys;Porichthys porosissimus;NA;unsexed;TL;37;NA;0.285;NA;NA;NA
12925;Batrachoidiformes;Batrachoididae;Toadfishes;189;Porichthys;Porichthys porosissimus;NA;unsexed;TL;36.9;NA;0.27;NA;NA;NA
972;Beloniformes;Belonidae;Needlefishes;207;Ablennes;Ablennes hians;Flat needlefish;unsexed;FL;NA;3768;0.605;NA;NA;NA
7509;Beloniformes;Exocoetidae;Flyingfishes;206;Cheilopogon;Cheilopogon atrisignis;NA;unsexed;TL;29.9;NA;0.88;NA;NA;NA
7695;Beloniformes;Exocoetidae;Flyingfishes;206;Cheilopogon;Cheilopogon cyanopterus;Margined flyingfish;unsexed;TL;29.9;NA;0.86;NA;NA;NA
7696;Beloniformes;Exocoetidae;Flyingfishes;206;Cheilopogon;Cheilopogon nigricans;NA;unsexed;TL;22.2;NA;1.7;NA;NA;NA
7696;Beloniformes;Exocoetidae;Flyingfishes;206;Cheilopogon;Cheilopogon nigricans;NA;unsexed;TL;21;NA;1.75;NA;NA;NA
5159;Beloniformes;Exocoetidae;Flyingfishes;206;Cypselurus;Cypselurus opisthopus;NA;unsexed;TL;28;NA;2.05;NA;NA;NA
7457;Beloniformes;Exocoetidae;Flyingfishes;206;Hirundichthys;Hirundichthys affinis;Fourwing flyingfish;unsexed;FL;28.9;NA;3.12;0.008;NA;4.2
7457;Beloniformes;Exocoetidae;Flyingfishes;206;Hirundichthys;Hirundichthys affinis;Fourwing flyingfish;unsexed;FL;28.74845;NA;3.65;0.01;NA;NA
7457;Beloniformes;Exocoetidae;Flyingfishes;206;Hirundichthys;Hirundichthys affinis;Fourwing flyingfish;unsexed;TL;30.5;NA;1.695;-0.051;NA;NA
1034;Beloniformes;Exocoetidae;Flyingfishes;206;Hirundichthys;Hirundichthys oxycephalus;Fourwing flyingfish;unsexed;FL;33.65488;NA;1.1;NA;NA;NA
1037;Beloniformes;Exocoetidae;Flyingfishes;206;Parexocoetus;Parexocoetus brachypterus;Sailfin flyingfish;unsexed;;13.5;NA;2.4;NA;NA;NA
1059;Beloniformes;Hemiramphidae;Halfbeaks;475;Hemiramphus;Hemiramphus brasiliensis;Ballyhoo;unsexed;FL;35.6092;NA;0.587;NA;NA;NA
14582;Beloniformes;Hemiramphidae;Halfbeaks;475;Hyporhamphus;Hyporhamphus melanochir;NA;female;SL;38.88889;NA;0.66;NA;NA;NA
14582;Beloniformes;Hemiramphidae;Halfbeaks;475;Hyporhamphus;Hyporhamphus melanochir;NA;female;SL;41.44444;NA;0.607;NA;NA;NA
14582;Beloniformes;Hemiramphidae;Halfbeaks;475;Hyporhamphus;Hyporhamphus melanochir;NA;male;SL;41.22222;NA;0.628;NA;NA;NA
14582;Beloniformes;Hemiramphidae;Halfbeaks;475;Hyporhamphus;Hyporhamphus melanochir;NA;male;SL;40.8;NA;0.507;0.12;NA;0.53
14582;Beloniformes;Hemiramphidae;Halfbeaks;475;Hyporhamphus;Hyporhamphus melanochir;NA;female;SL;43;NA;0.54;0.3;NA;0.36
14582;Beloniformes;Hemiramphidae;Halfbeaks;475;Hyporhamphus;Hyporhamphus melanochir;NA;male;SL;43.55556;NA;0.772;NA;NA;NA
16884;Beloniformes;Hemiramphidae;Halfbeaks;475;Oxyporhamphus;Oxyporhamphus convexus;NA;unsexed;TL;22.5;NA;1.2;NA;NA;NA
